Any,Nom_Districte,Nom_Barri,Edat_quinquennal,Emmigrants,Immigrants
2015,Ciutat Vella,el Raval,0-4 anys,112,165
2015,Ciutat Vella,el Barri Gòtic,0-4 anys,28,49
2015,Ciutat Vella,la Barceloneta,0-4 anys,21,36
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",0-4 anys,35,64
2015,Eixample,el Fort Pienc,0-4 anys,62,78
2015,Eixample,la Sagrada Família,0-4 anys,80,101
2015,Eixample,la Dreta de l'Eixample,0-4 anys,75,94
2015,Eixample,l'Antiga Esquerra de l'Eixample,0-4 anys,47,73
2015,Eixample,la Nova Esquerra de l'Eixample,0-4 anys,96,111
2015,Eixample,Sant Antoni,0-4 anys,58,68
2015,Sants-Montjuïc,el Poble-sec,0-4 anys,94,81
2015,Sants-Montjuïc,la Marina del Prat Vermell,0-4 anys,5,6
2015,Sants-Montjuïc,la Marina de Port,0-4 anys,72,64
2015,Sants-Montjuïc,la Font de la Guatlla,0-4 anys,29,33
2015,Sants-Montjuïc,Hostafrancs,0-4 anys,29,36
2015,Sants-Montjuïc,la Bordeta,0-4 anys,42,46
2015,Sants-Montjuïc,Sants - Badal,0-4 anys,58,39
2015,Sants-Montjuïc,Sants,0-4 anys,92,79
2015,Les Corts,les Corts,0-4 anys,79,113
2015,Les Corts,la Maternitat i Sant Ramon,0-4 anys,51,84
2015,Les Corts,Pedralbes,0-4 anys,18,53
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",0-4 anys,16,20
2015,Sarrià-Sant Gervasi,Sarrià,0-4 anys,50,81
2015,Sarrià-Sant Gervasi,les Tres Torres,0-4 anys,22,51
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,0-4 anys,34,72
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,0-4 anys,77,96
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,0-4 anys,50,67
2015,Gràcia,Vallcarca i els Penitents,0-4 anys,29,25
2015,Gràcia,el Coll,0-4 anys,18,21
2015,Gràcia,la Salut,0-4 anys,21,21
2015,Gràcia,la Vila de Gràcia,0-4 anys,66,93
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,0-4 anys,52,53
2015,Horta-Guinardó,el Baix Guinardó,0-4 anys,40,46
2015,Horta-Guinardó,Can Baró,0-4 anys,11,10
2015,Horta-Guinardó,el Guinardó,0-4 anys,61,55
2015,Horta-Guinardó,la Font d'en Fargues,0-4 anys,5,14
2015,Horta-Guinardó,el Carmel,0-4 anys,56,55
2015,Horta-Guinardó,la Teixonera,0-4 anys,18,24
2015,Horta-Guinardó,Sant Genís dels Agudells,0-4 anys,6,12
2015,Horta-Guinardó,Montbau,0-4 anys,5,10
2015,Horta-Guinardó,la Vall d'Hebron,0-4 anys,4,10
2015,Horta-Guinardó,la Clota,0-4 anys,0,2
2015,Horta-Guinardó,Horta,0-4 anys,25,42
2015,Nou Barris,Vilapicina i la Torre Llobeta,0-4 anys,32,40
2015,Nou Barris,Porta,0-4 anys,31,40
2015,Nou Barris,el Turó de la Peira,0-4 anys,32,31
2015,Nou Barris,Can Peguera,0-4 anys,1,2
2015,Nou Barris,la Guineueta,0-4 anys,32,19
2015,Nou Barris,Canyelles,0-4 anys,13,11
2015,Nou Barris,les Roquetes,0-4 anys,37,36
2015,Nou Barris,Verdun,0-4 anys,18,22
2015,Nou Barris,la Prosperitat,0-4 anys,28,53
2015,Nou Barris,la Trinitat Nova,0-4 anys,17,25
2015,Nou Barris,Torre Baró,0-4 anys,5,15
2015,Nou Barris,Ciutat Meridiana,0-4 anys,27,26
2015,Nou Barris,Vallbona,0-4 anys,2,8
2015,Sant Andreu,la Trinitat Vella,0-4 anys,30,39
2015,Sant Andreu,Baró de Viver,0-4 anys,4,15
2015,Sant Andreu,el Bon Pastor,0-4 anys,27,36
2015,Sant Andreu,Sant Andreu,0-4 anys,90,84
2015,Sant Andreu,la Sagrera,0-4 anys,38,46
2015,Sant Andreu,el Congrés i els Indians,0-4 anys,19,27
2015,Sant Andreu,Navas,0-4 anys,42,51
2015,Sant Martí,el Camp de l'Arpa del Clot,0-4 anys,75,69
2015,Sant Martí,el Clot,0-4 anys,32,45
2015,Sant Martí,el Parc i la Llacuna del Poblenou,0-4 anys,24,30
2015,Sant Martí,la Vila Olímpica del Poblenou,0-4 anys,20,41
2015,Sant Martí,el Poblenou,0-4 anys,69,88
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,0-4 anys,42,61
2015,Sant Martí,el Besòs i el Maresme,0-4 anys,83,101
2015,Sant Martí,Provençals del Poblenou,0-4 anys,29,52
2015,Sant Martí,Sant Martí de Provençals,0-4 anys,27,41
2015,Sant Martí,la Verneda i la Pau,0-4 anys,55,51
2015,Ciutat Vella,el Raval,5-9 anys,100,149
2015,Ciutat Vella,el Barri Gòtic,5-9 anys,25,35
2015,Ciutat Vella,la Barceloneta,5-9 anys,17,15
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",5-9 anys,38,41
2015,Eixample,el Fort Pienc,5-9 anys,39,56
2015,Eixample,la Sagrada Família,5-9 anys,44,62
2015,Eixample,la Dreta de l'Eixample,5-9 anys,47,67
2015,Eixample,l'Antiga Esquerra de l'Eixample,5-9 anys,38,68
2015,Eixample,la Nova Esquerra de l'Eixample,5-9 anys,61,75
2015,Eixample,Sant Antoni,5-9 anys,45,57
2015,Sants-Montjuïc,el Poble-sec,5-9 anys,59,66
2015,Sants-Montjuïc,la Marina del Prat Vermell,5-9 anys,1,5
2015,Sants-Montjuïc,la Marina de Port,5-9 anys,51,52
2015,Sants-Montjuïc,la Font de la Guatlla,5-9 anys,22,15
2015,Sants-Montjuïc,Hostafrancs,5-9 anys,21,34
2015,Sants-Montjuïc,la Bordeta,5-9 anys,28,32
2015,Sants-Montjuïc,Sants - Badal,5-9 anys,41,46
2015,Sants-Montjuïc,Sants,5-9 anys,70,76
2015,Les Corts,les Corts,5-9 anys,53,62
2015,Les Corts,la Maternitat i Sant Ramon,5-9 anys,34,34
2015,Les Corts,Pedralbes,5-9 anys,19,62
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",5-9 anys,14,14
2015,Sarrià-Sant Gervasi,Sarrià,5-9 anys,41,70
2015,Sarrià-Sant Gervasi,les Tres Torres,5-9 anys,30,47
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,5-9 anys,29,51
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,5-9 anys,68,101
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,5-9 anys,28,49
2015,Gràcia,Vallcarca i els Penitents,5-9 anys,11,20
2015,Gràcia,el Coll,5-9 anys,13,16
2015,Gràcia,la Salut,5-9 anys,16,7
2015,Gràcia,la Vila de Gràcia,5-9 anys,40,76
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,5-9 anys,41,45
2015,Horta-Guinardó,el Baix Guinardó,5-9 anys,23,41
2015,Horta-Guinardó,Can Baró,5-9 anys,11,12
2015,Horta-Guinardó,el Guinardó,5-9 anys,29,47
2015,Horta-Guinardó,la Font d'en Fargues,5-9 anys,8,6
2015,Horta-Guinardó,el Carmel,5-9 anys,38,42
2015,Horta-Guinardó,la Teixonera,5-9 anys,11,9
2015,Horta-Guinardó,Sant Genís dels Agudells,5-9 anys,13,4
2015,Horta-Guinardó,Montbau,5-9 anys,1,9
2015,Horta-Guinardó,la Vall d'Hebron,5-9 anys,3,6
2015,Horta-Guinardó,la Clota,5-9 anys,1,0
2015,Horta-Guinardó,Horta,5-9 anys,18,36
2015,Nou Barris,Vilapicina i la Torre Llobeta,5-9 anys,25,34
2015,Nou Barris,Porta,5-9 anys,27,29
2015,Nou Barris,el Turó de la Peira,5-9 anys,18,35
2015,Nou Barris,Can Peguera,5-9 anys,2,1
2015,Nou Barris,la Guineueta,5-9 anys,13,15
2015,Nou Barris,Canyelles,5-9 anys,8,7
2015,Nou Barris,les Roquetes,5-9 anys,34,38
2015,Nou Barris,Verdun,5-9 anys,20,26
2015,Nou Barris,la Prosperitat,5-9 anys,28,39
2015,Nou Barris,la Trinitat Nova,5-9 anys,11,16
2015,Nou Barris,Torre Baró,5-9 anys,5,13
2015,Nou Barris,Ciutat Meridiana,5-9 anys,34,26
2015,Nou Barris,Vallbona,5-9 anys,3,4
2015,Sant Andreu,la Trinitat Vella,5-9 anys,30,39
2015,Sant Andreu,Baró de Viver,5-9 anys,12,9
2015,Sant Andreu,el Bon Pastor,5-9 anys,22,23
2015,Sant Andreu,Sant Andreu,5-9 anys,48,73
2015,Sant Andreu,la Sagrera,5-9 anys,22,40
2015,Sant Andreu,el Congrés i els Indians,5-9 anys,14,14
2015,Sant Andreu,Navas,5-9 anys,22,34
2015,Sant Martí,el Camp de l'Arpa del Clot,5-9 anys,42,45
2015,Sant Martí,el Clot,5-9 anys,29,36
2015,Sant Martí,el Parc i la Llacuna del Poblenou,5-9 anys,26,24
2015,Sant Martí,la Vila Olímpica del Poblenou,5-9 anys,16,18
2015,Sant Martí,el Poblenou,5-9 anys,44,52
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,5-9 anys,36,28
2015,Sant Martí,el Besòs i el Maresme,5-9 anys,90,71
2015,Sant Martí,Provençals del Poblenou,5-9 anys,19,31
2015,Sant Martí,Sant Martí de Provençals,5-9 anys,28,26
2015,Sant Martí,la Verneda i la Pau,5-9 anys,40,60
2015,Ciutat Vella,el Raval,10-14 anys,61,94
2015,Ciutat Vella,el Barri Gòtic,10-14 anys,12,28
2015,Ciutat Vella,la Barceloneta,10-14 anys,10,18
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",10-14 anys,26,33
2015,Eixample,el Fort Pienc,10-14 anys,17,42
2015,Eixample,la Sagrada Família,10-14 anys,40,71
2015,Eixample,la Dreta de l'Eixample,10-14 anys,38,60
2015,Eixample,l'Antiga Esquerra de l'Eixample,10-14 anys,19,61
2015,Eixample,la Nova Esquerra de l'Eixample,10-14 anys,60,91
2015,Eixample,Sant Antoni,10-14 anys,38,47
2015,Sants-Montjuïc,el Poble-sec,10-14 anys,51,70
2015,Sants-Montjuïc,la Marina del Prat Vermell,10-14 anys,0,4
2015,Sants-Montjuïc,la Marina de Port,10-14 anys,48,70
2015,Sants-Montjuïc,la Font de la Guatlla,10-14 anys,6,21
2015,Sants-Montjuïc,Hostafrancs,10-14 anys,20,37
2015,Sants-Montjuïc,la Bordeta,10-14 anys,16,33
2015,Sants-Montjuïc,Sants - Badal,10-14 anys,25,49
2015,Sants-Montjuïc,Sants,10-14 anys,41,84
2015,Les Corts,les Corts,10-14 anys,36,63
2015,Les Corts,la Maternitat i Sant Ramon,10-14 anys,31,39
2015,Les Corts,Pedralbes,10-14 anys,23,50
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",10-14 anys,7,13
2015,Sarrià-Sant Gervasi,Sarrià,10-14 anys,28,87
2015,Sarrià-Sant Gervasi,les Tres Torres,10-14 anys,25,38
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,10-14 anys,24,45
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,10-14 anys,51,104
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,10-14 anys,23,49
2015,Gràcia,Vallcarca i els Penitents,10-14 anys,12,20
2015,Gràcia,el Coll,10-14 anys,4,15
2015,Gràcia,la Salut,10-14 anys,7,16
2015,Gràcia,la Vila de Gràcia,10-14 anys,31,52
