Any,Nom_Districte,Nom_Barri,Sexe,Emmigrants,Immigrants
2015,Ciutat Vella,el Raval,Homes,1541,3219
2015,Ciutat Vella,el Barri Gòtic,Homes,435,1164
2015,Ciutat Vella,la Barceloneta,Homes,326,808
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Homes,564,1302
2015,Eixample,el Fort Pienc,Homes,519,999
2015,Eixample,la Sagrada Família,Homes,817,1544
2015,Eixample,la Dreta de l'Eixample,Homes,673,1376
2015,Eixample,l'Antiga Esquerra de l'Eixample,Homes,675,1443
2015,Eixample,la Nova Esquerra de l'Eixample,Homes,941,1699
2015,Eixample,Sant Antoni,Homes,726,1188
2015,Sants-Montjuïc,el Poble-sec,Homes,968,1573
2015,Sants-Montjuïc,la Marina del Prat Vermell,Homes,19,33
2015,Sants-Montjuïc,la Marina de Port,Homes,546,691
2015,Sants-Montjuïc,la Font de la Guatlla,Homes,209,372
2015,Sants-Montjuïc,Hostafrancs,Homes,356,605
2015,Sants-Montjuïc,la Bordeta,Homes,366,488
2015,Sants-Montjuïc,Sants - Badal,Homes,568,708
2015,Sants-Montjuïc,Sants,Homes,918,1224
2015,Les Corts,les Corts,Homes,675,1022
2015,Les Corts,la Maternitat i Sant Ramon,Homes,400,626
2015,Les Corts,Pedralbes,Homes,208,392
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Homes,88,110
2015,Sarrià-Sant Gervasi,Sarrià,Homes,349,579
2015,Sarrià-Sant Gervasi,les Tres Torres,Homes,191,313
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Homes,366,575
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Homes,586,1032
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,Homes,408,679
2015,Gràcia,Vallcarca i els Penitents,Homes,220,312
2015,Gràcia,el Coll,Homes,119,177
2015,Gràcia,la Salut,Homes,167,268
2015,Gràcia,la Vila de Gràcia,Homes,782,1607
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,Homes,464,780
2015,Horta-Guinardó,el Baix Guinardó,Homes,367,587
2015,Horta-Guinardó,Can Baró,Homes,128,205
2015,Horta-Guinardó,el Guinardó,Homes,487,805
2015,Horta-Guinardó,la Font d'en Fargues,Homes,91,125
2015,Horta-Guinardó,el Carmel,Homes,449,564
2015,Horta-Guinardó,la Teixonera,Homes,158,205
2015,Horta-Guinardó,Sant Genís dels Agudells,Homes,117,135
