Any,Nom_Districte,Nom_Barri,Poblacio,Domicilis,Ocupacio_mitjana_(persones_ per_domicili),Preu
2015,Ciutat Vella,el Raval,47617,16776,2.84,624.7375
2015,Ciutat Vella,el Barri Gòtic,15269,6461,2.36,782.985
2015,Ciutat Vella,la Barceloneta,15036,6820,2.2,602.72
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22305,9869,2.26,721.4475
2015,Eixample,el Fort Pienc,31645,12880,2.46,767.355
2015,Eixample,la Sagrada Família,51347,21850,2.35,712.35
2015,Eixample,la Dreta de l'Eixample,43344,18308,2.37,1008.3775
2015,Eixample,l'Antiga Esquerra de l'Eixample,41696,18081,2.31,908.34
2015,Eixample,la Nova Esquerra de l'Eixample,57711,24554,2.35,782.4475
2015,Eixample,Sant Antoni,38248,16402,2.33,764.13
2015,Sants-Montjuïc,el Poble-sec,40217,15969,2.52,611.675
2015,Sants-Montjuïc,la Marina del Prat Vermell,1145,442,2.59,396.215
2015,Sants-Montjuïc,la Marina de Port,30374,11772,2.58,539.92
2015,Sants-Montjuïc,la Font de la Guatlla,10355,4280,2.42,699.855
2015,Sants-Montjuïc,Hostafrancs,15812,6554,2.41,622.1625
2015,Sants-Montjuïc,la Bordeta,18430,7518,2.45,637.0825
2015,Sants-Montjuïc,Sants - Badal,24085,9933,2.42,625.13
2015,Sants-Montjuïc,Sants,40889,17203,2.38,650.8325
2015,Les Corts,les Corts,46086,19004,2.43,852.2175
2015,Les Corts,la Maternitat i Sant Ramon,23845,9659,2.47,746.575
2015,Les Corts,Pedralbes,11763,4225,2.78,1714.145
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4635,1565,2.96,1030.0475
2015,Sarrià-Sant Gervasi,Sarrià,24614,8843,2.78,1100.4075
2015,Sarrià-Sant Gervasi,les Tres Torres,16624,5580,2.98,1380.3525
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25511,9352,2.73,1039.9675
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,46968,18516,2.54,1150.0725
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,29149,12109,2.41,799.2575
2015,Gràcia,Vallcarca i els Penitents,15508,6461,2.4,737.0775
2015,Gràcia,el Coll,7324,3069,2.39,558.6825
2015,Gràcia,la Salut,13213,5397,2.45,701.4325
2015,Gràcia,la Vila de Gràcia,50584,22827,2.22,731.255
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,34047,14780,2.3,725.5225
2015,Horta-Guinardó,el Baix Guinardó,25476,10775,2.36,642.325
2015,Horta-Guinardó,Can Baró,8938,3776,2.37,549.2774999999999
2015,Horta-Guinardó,el Guinardó,36073,15229,2.37,612.05
2015,Horta-Guinardó,la Font d'en Fargues,9443,3697,2.55,717.3325
2015,Horta-Guinardó,el Carmel,31498,12705,2.48,511.78
2015,Horta-Guinardó,la Teixonera,11322,4687,2.42,519.45
2015,Horta-Guinardó,Sant Genís dels Agudells,6693,2795,2.39,550.4100000000001
2015,Horta-Guinardó,Montbau,5070,2106,2.41,627.6800000000001
2015,Horta-Guinardó,la Vall d'Hebron,5613,2277,2.47,696.5525
2015,Horta-Guinardó,la Clota,568,249,2.28,368.0
2015,Horta-Guinardó,Horta,26624,10661,2.5,580.01
2015,Nou Barris,Vilapicina i la Torre Llobeta,25499,10491,2.43,585.1725
2015,Nou Barris,Porta,24536,10143,2.42,555.47
2015,Nou Barris,el Turó de la Peira,15420,6153,2.51,501.385
2015,Nou Barris,Can Peguera,2267,926,2.45,
2015,Nou Barris,la Guineueta,15074,6164,2.45,570.445
2015,Nou Barris,Canyelles,6946,2803,2.48,577.29
2015,Nou Barris,les Roquetes,15523,5836,2.66,463.3525
2015,Nou Barris,Verdun,12258,5037,2.43,474.7425
2015,Nou Barris,la Prosperitat,26184,10726,2.44,529.865
2015,Nou Barris,la Trinitat Nova,7362,2879,2.56,448.8575
2015,Nou Barris,Torre Baró,2828,935,3.02,393.65
2015,Nou Barris,Ciutat Meridiana,10156,3543,2.87,395.4125
2015,Nou Barris,Vallbona,1351,478,2.83,450.0
2015,Sant Andreu,la Trinitat Vella,10210,3471,2.94,438.3625
2015,Sant Andreu,Baró de Viver,2482,953,2.6,284.58
2015,Sant Andreu,el Bon Pastor,12655,4618,2.74,536.67
2015,Sant Andreu,Sant Andreu,56682,23363,2.43,612.3675000000001
2015,Sant Andreu,la Sagrera,29020,11730,2.47,636.8050000000001
2015,Sant Andreu,el Congrés i els Indians,14148,5916,2.39,611.1475
2015,Sant Andreu,Navas,22110,8960,2.47,672.5025
2015,Sant Martí,el Camp de l'Arpa del Clot,38202,16234,2.35,642.355
2015,Sant Martí,el Clot,27013,10778,2.51,650.1625
2015,Sant Martí,el Parc i la Llacuna del Poblenou,14764,6033,2.45,747.245
2015,Sant Martí,la Vila Olímpica del Poblenou,9261,3501,2.65,1099.385
2015,Sant Martí,el Poblenou,33579,13567,2.48,732.955
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13352,5412,2.47,1032.655
2015,Sant Martí,el Besòs i el Maresme,23026,8418,2.74,506.74
2015,Sant Martí,Provençals del Poblenou,20244,8093,2.5,661.71
2015,Sant Martí,Sant Martí de Provençals,26005,10589,2.46,674.6025
2015,Sant Martí,la Verneda i la Pau,28678,11409,2.51,609.9575
2016,Ciutat Vella,el Raval,47274,16851,2.81,667.3924999999999
2016,Ciutat Vella,el Barri Gòtic,15729,6450,2.44,866.3125
2016,Ciutat Vella,la Barceloneta,15068,6850,2.2,667.76
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22380,9954,2.25,806.635
2016,Eixample,el Fort Pienc,31693,12805,2.48,823.255
2016,Eixample,la Sagrada Família,51349,21844,2.35,774.5025
2016,Eixample,la Dreta de l'Eixample,43715,18391,2.38,1135.755
2016,Eixample,l'Antiga Esquerra de l'Eixample,41872,18104,2.31,976.6325
2016,Eixample,la Nova Esquerra de l'Eixample,57676,24515,2.35,867.725
2016,Eixample,Sant Antoni,38182,16383,2.33,841.33
2016,Sants-Montjuïc,el Poble-sec,40104,15983,2.51,669.075
2016,Sants-Montjuïc,la Marina del Prat Vermell,1146,442,2.59,360.88
2016,Sants-Montjuïc,la Marina de Port,30397,11780,2.58,546.6775
2016,Sants-Montjuïc,la Font de la Guatlla,10316,4266,2.42,735.2875
2016,Sants-Montjuïc,Hostafrancs,15915,6611,2.41,685.38
2016,Sants-Montjuïc,la Bordeta,18518,7530,2.46,680.6525
2016,Sants-Montjuïc,Sants - Badal,23935,9919,2.41,688.5250000000001
2016,Sants-Montjuïc,Sants,40831,17151,2.38,706.7075
2016,Les Corts,les Corts,45976,18908,2.43,934.67
2016,Les Corts,la Maternitat i Sant Ramon,23868,9672,2.47,839.4425
2016,Les Corts,Pedralbes,11864,4191,2.83,1653.6975
2016,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4641,1563,2.97,1177.1075
2016,Sarrià-Sant Gervasi,Sarrià,24810,8867,2.8,1188.0025
2016,Sarrià-Sant Gervasi,les Tres Torres,16486,5586,2.95,1512.785
2016,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25761,9351,2.75,1123.6225
2016,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,47156,18589,2.54,1238.57
2016,Sarrià-Sant Gervasi,el Putxet i el Farró,29318,12157,2.41,875.0975
2016,Gràcia,Vallcarca i els Penitents,15448,6415,2.41,786.55
2016,Gràcia,el Coll,7391,3079,2.4,618.0325
2016,Gràcia,la Salut,13123,5392,2.43,774.5575
2016,Gràcia,la Vila de Gràcia,50670,22753,2.23,798.68
2016,Gràcia,el Camp d'en Grassot i Gràcia Nova,34275,14839,2.31,803.1600000000001
2016,Horta-Guinardó,el Baix Guinardó,25563,10774,2.37,701.3525
2016,Horta-Guinardó,Can Baró,8969,3779,2.37,633.0799999999999
2016,Horta-Guinardó,el Guinardó,36176,15261,2.37,666.6525
